title,description,requirement,responsibilities,benefit,company,category,employment_type,experience_level,work_approach,ward,province,min_salary,max_salary,applied,view
Principal Data Engineer,"VietConnect Telecom đang tìm kiếm một Principal Data Engineer để gia nhập đội ngũ kỹ thuật tại Hà Nội. Bạn sẽ làm việc với MongoDB và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 10+ năm kinh nghiệm database/data engineering ở các hệ thống production quy mô lớn.
- Tầm nhìn kiến trúc và khả năng đưa ra quyết định công nghệ dài hạn.
- Kinh nghiệm làm việc với cloud data platforms (AWS/Azure/GCP).
- Đã từng thiết kế hệ thống phục vụ hàng trăm triệu records.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng MongoDB.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Health insurance for family, Annual health check, Team building budget",VietConnect Telecom,Information Technology,Hybrid,Principal,Onsite,Ba Đình,Thành phố Hà Nội,4500,6600,44,1197
Backend Developer,Develop backend services using Spring Boot.,1+ year Java experience.,Build APIs and optimize database queries.,"13th month salary, Health insurance",NextGen Software,Information Technology,Full-time,Junior,Onsite,Ba Đình,Thành phố Hà Nội,4000,6000,0,0
Director of Data Engineering,"Join FinCore Tech as a Director of Data Engineering working on SQL Server-based platforms. You will collaborate with backend, data and DevOps teams to deliver high-performance data infrastructure serving customers across Vietnam and SEA.","- 15+ năm kinh nghiệm, trong đó 7+ năm ở vị trí director/head.
- Định hướng chiến lược dữ liệu cho toàn bộ tổ chức.
- Kinh nghiệm làm việc với C-level, xây dựng data-driven culture.
- Hiểu biết sâu về data mesh, data fabric và modern data stack.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng SQL Server.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Health insurance for family, Annual health check, Team building budget",FinCore Tech,Information Technology,Full-time,Director,Onsite,Phú Thượng,Thành phố Hà Nội,6400,10000,40,187
Senior MySQL DBA,"EduSmart đang tìm kiếm một Senior MySQL DBA để gia nhập đội ngũ kỹ thuật tại Hà Nội. Bạn sẽ làm việc với MongoDB và các công nghệ liên quan để xây dựng, vận hành và tối ưu các hệ thống dữ liệu phục vụ hàng triệu người dùng tại Việt Nam.","- 5+ năm kinh nghiệm database engineering với MongoDB.
- Chuyên sâu về sharding, replica sets, aggregation framework, schema design.
- Kinh nghiệm thiết kế hệ thống high-availability và disaster recovery.
- Khả năng review code, đào tạo và dẫn dắt kỹ thuật cho team.
- Tiếng Anh giao tiếp tốt là một lợi thế.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng MongoDB.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Performance bonus up to 3 months, Stock options, Premium healthcare",EduSmart,Information Technology,Full-time,Senior,Onsite,Tây Hồ,Thành phố Hà Nội,2700,4100,68,307
Junior Database Administrator,"CodeBridge Solutions is looking for a Junior Database Administrator based in Hà Nội to strengthen our data platform. You will work on MongoDB, focusing on sharding, replica sets, aggregation framework, schema design for production-grade systems.","- 1-2 năm kinh nghiệm với SQL và ít nhất một RDBMS (MySQL/PostgreSQL/Oracle).
- Hiểu biết về indexing, query optimization và transaction isolation.
- Quen thuộc với Git và quy trình phát triển phần mềm.
- Khả năng đọc hiểu tài liệu tiếng Anh.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng MongoDB.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Competitive salary, Project bonus, Long-service award",CodeBridge Solutions,Information Technology,Full-time,Junior,Onsite,Bồ Đề,Thành phố Hà Nội,1000,1300,34,1064
Database Developer (Fresher),"We are hiring a Database Developer (Fresher) to join our database engineering team in Hà Nội. You will design, build, and operate scalable data platforms using Oracle. Our systems process billions of records and power core business operations.","- Tốt nghiệp Đại học chuyên ngành CNTT hoặc tương đương.
- Hiểu biết cơ bản về SQL và một hệ quản trị cơ sở dữ liệu quan hệ.
- Tiếng Anh đọc hiểu tài liệu kỹ thuật.
- Tinh thần ham học hỏi, có khả năng làm việc nhóm.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Oracle.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Health insurance for family, Annual health check, Team building budget",FinCore Tech,Information Technology,Remote,Fresher,Onsite,Bồ Đề,Thành phố Hà Nội,700,1000,47,1111
Head of Database,"EduSmart is looking for a Head of Database based in Hà Nội to strengthen our data platform. You will work on Oracle, focusing on PL/SQL, RAC, Data Guard, performance tuning, RMAN for production-grade systems.","- 15+ năm kinh nghiệm, trong đó 7+ năm ở vị trí director/head.
- Định hướng chiến lược dữ liệu cho toàn bộ tổ chức.
- Kinh nghiệm làm việc với C-level, xây dựng data-driven culture.
- Hiểu biết sâu về data mesh, data fabric và modern data stack.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Oracle.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Premium health insurance, English class, Book allowance",EduSmart,Information Technology,Full-time,Director,Onsite,Việt Hưng,Thành phố Hà Nội,6300,9700,43,1315
Lead DBA - Hybrid,"We are hiring a Lead DBA - Hybrid to join our database engineering team in Hà Nội. You will design, build, and operate scalable data platforms using Data Warehouse. Our systems process billions of records and power core business operations.","- 7+ năm kinh nghiệm, trong đó có ít nhất 2 năm ở vị trí lead.
- Chuyên sâu Data Warehouse và hệ sinh thái xung quanh.
- Kinh nghiệm thiết kế kiến trúc dữ liệu cho hệ thống scale lớn.
- Khả năng lãnh đạo team 4-6 người, làm việc với stakeholders.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Data Warehouse.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Laptop & gear provided, Training budget 5M/year, Conference sponsorship",ChainWorks,Information Technology,Full-time,Lead,Remote,Phúc Lợi,Thành phố Hà Nội,3700,5400,58,1208
"Backend Developer (Database, Middle)","EduSmart is looking for a Backend Developer (Database, Middle) based in Hà Nội to strengthen our data platform. You will work on Oracle, focusing on PL/SQL, RAC, Data Guard, performance tuning, RMAN for production-grade systems.","- 3-4 năm kinh nghiệm làm việc thực tế với cơ sở dữ liệu quan hệ hoặc NoSQL.
- Thành thạo PL/SQL, RAC, Data Guard, performance tuning, RMAN.
- Có kinh nghiệm thiết kế schema, partitioning, replication.
- Kinh nghiệm monitoring và troubleshooting production databases.
- Khả năng làm việc độc lập và mentor junior members.","- Thiết kế, phát triển và vận hành các giải pháp dữ liệu sử dụng Oracle.
- Tối ưu hiệu năng truy vấn, indexing và partitioning cho hệ thống production.
- Phối hợp với team backend/frontend để đảm bảo data layer ổn định.
- Xây dựng tooling, automation và quy trình backup/recovery.
- Tham gia on-call rotation, xử lý sự cố liên quan đến database.
- Viết tài liệu kỹ thuật, mentor thành viên mới trong team.
- Nghiên cứu và đánh giá công nghệ mới phục vụ nhu cầu kinh doanh.
- Đảm bảo tuân thủ security, data governance và privacy regulations.","Remote-friendly, Flexible hours, Meal allowance 1.5M VND",EduSmart,Information Technology,Internship,Middle,Remote,Cầu Giấy,Thành phố Hà Nội,1600,2300,80,1061
Frontend Developer,Build UI with React.,Good React knowledge.,Develop reusable components.,"Remote support, Performance bonus",NextGen Software,Information Technology,Full-time,Junior,Remote,Cầu Giấy,Thành phố Hà Nội,1000,2000,0,0
